NeighborhoodTown,TotalEnrolled,TotalDiagnosed,TotalDiagnosedandMedicated,WomenEnrolled,WomenDiagnosed,WomenDiagnosedMedicated,MenEnrolled,MenDiagnosed,MenDiagnosedMedicated
Mt Lebanon,2173,119,62,1136,56,25,1037,63,37
Mt Lebanon,2266,228,80,1219,135,35,1047,93,45
Mt Lebanon,2689,297,127,1486,171,64,1203,126,63
Upper St Clair Township,2435,179,95,1263,86,42,1172,93,53
Upper St Clair Township,2228,180,78,1154,97,36,1074,83,42
Upper St Clair Township,1556,105,64,813,45,21,743,60,43
Upper St Clair Township,2943,317,115,1528,169,47,1415,148,68
Upper St Clair Township,2868,209,129,1470,83,45,1398,126,84
Bethel Park,2766,381,168,1573,232,93,1193,149,75
Bethel Park,1039,106,45,528,53,19,511,53,26
Bethel Park,2976,333,189,1573,181,92,1403,152,97
Bethel Park,2674,340,174,1437,166,73,1237,174,101
Bethel Park,2519,272,141,1333,135,67,1186,137,74
Bethel Park,3119,288,151,1673,156,74,1446,132,77
Bethel Park,2411,296,147,1303,170,77,1108,126,70
Bethel Park,1888,167,82,1013,79,36,875,88,46
Castle Shannon Borough,2622,284,157,1471,163,88,1151,121,69
Castle Shannon Borough,1861,208,118,1000,120,65,861,88,53
Whitehall Borough,2167,253,125,1189,134,61,978,119,64
Whitehall Borough,2707,376,174,1516,215,89,1191,161,85
Whitehall Borough,3665,336,184,1912,170,86,1753,166,98
Brentwood Borough,2328,247,131,1266,138,65,1062,109,66
Brentwood Borough,3310,263,147,1801,143,73,1509,120,74
Baldwin Township,1179,137,74,655,71,37,524,66,37
Baldwin Borough,2949,347,187,1585,200,111,1364,147,76
Baldwin Borough,1836,215,102,999,121,48,837,94,54
Baldwin Borough,2053,230,121,1083,110,51,970,120,70
Baldwin Borough,2204,227,124,1201,119,62,1003,108,62
Baldwin Borough,2957,381,183,1607,197,83,1350,184,100
Mt Oliver Borough,2078,188,116,1140,116,71,938,72,45
West Homestead Borough,1156,177,89,621,101,44,535,76,45
Homestead Borough,1734,258,155,1015,157,102,719,101,53
Munhall Borough,1893,183,91,1026,96,44,867,87,47
Munhall Borough,3482,427,250,1910,239,132,1572,188,118
Munhall Borough,1181,148,80,675,89,48,506,59,32
Whitaker Borough,658,68,39,377,41,20,281,27,19
Duquesne,1331,126,78,806,84,50,525,42,28
Duquesne,981,116,79,547,56,32,434,60,47
Duquesne,834,82,53,479,51,34,355,31,19
Dravosburg Borough,976,159,87,545,89,42,431,70,45
West Mifflin Borough,1817,204,124,949,115,66,868,89,58
West Mifflin Borough,2282,247,122,1311,139,60,971,108,62
West Mifflin Borough,1468,185,94,814,101,52,654,84,42
West Mifflin Borough,2939,348,177,1696,206,96,1243,142,81
West Mifflin Borough,1629,184,97,877,85,39,752,99,58
West Mifflin Borough,2964,318,182,1681,159,90,1283,159,92
Pleasant Hills Borough,2698,377,183,1493,216,99,1205,161,84
Pleasant Hills Borough,2300,222,103,1204,118,46,1096,104,57
South Park Township,2761,329,174,1498,169,94,1263,160,80
South Park Township,2165,221,113,1121,112,56,1044,109,57
South Park Township,3089,283,152,1634,135,67,1455,148,85
Jefferson Hills,4142,334,171,2207,160,70,1935,174,101
Jefferson Hills,1178,145,79,639,84,43,539,61,36
Clairton,1092,126,80,640,71,43,452,55,37
Clairton,1526,184,126,917,119,79,609,65,47
Clairton,1139,142,88,663,84,52,476,58,36
Elizabeth Borough,822,95,60,462,54,34,360,41,26
Forward Township,988,111,68,537,55,34,451,56,34
Elizabeth Tosnwhip,1870,193,97,1014,117,53,856,76,44
Elizabeth Tosnwhip,2624,350,193,1403,184,90,1221,166,103
Elizabeth Tosnwhip,3294,403,206,1785,209,96,1509,194,110
Lincoln Borough,531,63,34,290,29,16,241,34,18
Liberty Borough,1492,200,115,814,100,52,678,100,63
Glassport Borough,906,121,61,513,75,32,393,46,29
Glassport Borough,1587,221,119,893,125,68,694,96,51
Port Vue Borough,2026,224,132,1144,116,65,882,108,67
Middle Hill,982,118,76,584,74,46,398,44,30
Versailles Borough,794,132,80,434,75,43,360,57,37
White Oak Borough,3541,522,282,1991,321,160,1550,201,122
North Versailles Township,2669,364,249,1516,217,140,1153,147,109
Upper Hill,1021,142,76,590,95,52,431,47,24
East McKeesport Borough,1173,137,88,654,75,46,519,62,42
Wilmerding Borough,1115,118,73,660,76,45,455,42,28
Bedford Dwellings,832,76,58,525,50,40,307,26,18
Turtle Creek Borough,2921,344,187,1714,204,103,1207,140,84
Terrace Village,702,86,62,426,61,46,276,25,16
East Pittsburgh Borough,1171,112,69,654,63,34,517,49,35
Terrace Village,74,7,6,47,5,4,27,2,2
North Braddock Borough,1180,170,98,654,87,43,526,83,55
North Braddock Borough,746,85,49,419,48,27,327,37,22
North Braddock Borough,679,81,53,391,53,33,288,28,20
Braddock Borough,1335,156,90,786,106,56,549,50,34
Rankin Borough,1171,110,67,694,68,42,477,42,25
Swissvale Borough,1439,149,92,842,87,51,597,62,41
Swissvale Borough,1129,118,77,673,71,47,456,47,30
Swissvale Borough,1040,117,72,644,82,49,396,35,23
Swissvale Borough,1260,102,56,761,66,30,499,36,26
Edgewood Borough,812,60,35,443,28,15,369,32,20
Edgewood Borough,988,68,42,541,40,24,447,28,18
Braddock Hills Borough,979,140,71,556,75,35,423,65,36
Forest Hills Borough,2244,262,127,1293,162,70,951,100,57
Churchill Borough,1875,221,114,1008,106,48,867,115,66
Wilkins Township,1821,270,144,1011,138,64,810,132,80
Wilkins Township,1819,248,132,1033,155,83,786,93,49
Monroeville,2715,321,193,1475,159,91,1240,162,102
Monroeville,2269,268,151,1239,140,66,1030,128,85
Monroeville,2187,307,175,1252,178,100,935,129,75
Monroeville,2287,250,148,1267,151,80,1020,99,68
Monroeville,1540,239,136,862,132,65,678,107,71
Monroeville,2428,249,138,1272,118,69,1156,131,69
Monroeville,2483,325,172,1334,162,74,1149,163,98
Pitcairn Borough,1869,202,130,1022,109,68,847,93,62
Penn Hills,2231,328,176,1329,198,102,902,130,74
Penn Hills,2298,282,165,1324,163,97,974,119,68
Penn Hills,2252,279,141,1249,153,70,1003,126,71
Penn Hills,2783,383,198,1623,215,109,1160,168,89
Penn Hills,2517,334,188,1400,167,87,1117,167,101
Penn Hills,807,119,60,468,68,34,339,51,26
Penn Hills,2732,416,235,1525,236,124,1207,180,111
Penn Hills,2495,319,183,1382,169,87,1113,150,96
Penn Hills,3025,405,242,1716,214,120,1309,191,122
Penn Hills,2820,391,195,1557,215,99,1263,176,96
Verona Borough,1525,154,88,822,78,40,703,76,48
Oakmont Borough,1209,99,45,680,49,20,529,50,25
Oakmont Borough,1224,171,86,735,112,50,489,59,36
Oakmont Borough,1333,174,80,745,104,37,588,70,43
Plum Borough,2307,260,141,1242,151,74,1065,109,67
